distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,red,2,None,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,main,None,None,1,1.494874300005904,228.84916910000175,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,yellow,2,None,k,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,main,None,None,1,1.5017225999981747,231.342782300002,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,blue,1,k,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,main,k,k,1,0.9467473999975482,233.84529509999993,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,blue,1,None,k,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,main,None,None,1,1.501658100001805,235.7926390000066,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,blue,2,k,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,main,k,k,1,0.7659449999991921,238.29530660000455,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,blue,2,None,k,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,main,None,None,1,1.4962881999963429,240.06185200000618,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,blue,1,None,k,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,main,None,None,1,1.5019092000002274,242.55915500000265,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,blue,1,None,k,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,main,None,None,1,1.4963877999980468,245.06180719999975,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,blue,2,None,k,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,main,None,None,1,1.501872100001492,247.5590613000022,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,red,1,None,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,main,None,None,1,1.4991678000005777,250.0617241,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
