distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,mouse_3.clicked_name,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,yellow,1,None,k,,,,,,,,,0,71,71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8208867999928771,378.1346414999862,None,None,0,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
negative,blue,1,None,k,,,,,,,,,0,72,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.746903499995824,379.9566302999883,None,None,0,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
negative,red,2,None,None,,,,,,,,,0,73,73,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.495060100001865,381.7057328999945,None,None,1,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
positive,blue,2,k,None,,,,,,,,,0,74,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4995784000057029,384.201476199989,None,None,1,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
negative,blue,2,None,k,,,,,,,,,0,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.6866743999999017,386.70203629999014,None,None,0,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
negative,blue,2,None,k,,,,,,,,,0,76,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.6454258000012487,388.3900192000001,None,None,0,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
negative,yellow,1,k,None,,,,,,,,,0,77,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4963548999949126,390.03776609999477,None,None,1,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
positive,blue,1,k,None,,,,,,,,,0,78,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4991772000066703,392.5352719999937,None,None,1,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
positive,blue,1,k,None,,,,,,,,,0,79,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4991071999975247,395.0355372999911,None,None,1,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
positive,red,2,None,None,,,,,,,,,0,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4984763999964343,397.5363201,None,None,1,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
