distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,mouse_3.clicked_name,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,yellow,2,None,k,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.6493289000000004,415.14450179999994,None,None,0,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
positive,blue,1,k,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4965895999998793,416.7957094000001,None,None,1,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,blue,1,None,k,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.600009,419.2920458000001,None,None,0,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
positive,blue,2,k,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.5070457000001625,420.8956015000001,None,None,1,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,blue,2,None,k,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.6312869000000774,423.40407490000007,None,None,0,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,blue,1,None,k,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8245088000001033,425.03684840000005,None,None,0,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,blue,1,None,k,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8394522999999481,426.86392380000007,None,None,0,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,blue,2,None,k,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.7042166999999608,428.7064209,None,None,0,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,red,1,None,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.496303399999988,430.41190600000004,None,None,1,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
positive,red,2,None,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.5113420000000133,432.9087227,None,None,1,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
