target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,date,expName,psychopyVersion,frameRate,
neutral,positive,1,k,k,,,,,,,,,7,1,127,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.7009742999798618,420.6618677000515,421.66119420004543,421.66119420004543,None,420.6618677000515,None,420.6618677000515,None,420.6618677000515,None,422.3635747100401,None,422.3635747100401,None,422.3635747100401,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,neutral,1,j,l,,,,,,,,,7,2,128,3,,,,,,,,,main,1,1,1,neutral,negative,l,l,1,0.9128956000204198,422.36633020004956,423.38034540001536,423.3638044000254,None,422.36633020004956,None,422.36633020004956,None,422.36633020004956,None,424.27803401003473,None,424.27803401003473,None,424.27803401003473,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,positive,1,l,j,,,,,,,,,7,3,129,2,,,,,,,,,main,2,2,1,positive,positive,j,j,1,0.8511097000446171,424.2818145000492,425.297025100037,425.27807610004675,None,424.2818145000492,None,424.2818145000492,None,424.2818145000492,None,426.13022821001357,None,426.13022821001357,None,426.13022821001357,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,negative,2,l,j,,,,,,,,,7,4,130,14,,,,,,,,,main,1,1,2,negative,positive,j,j,1,0.697432300017681,426.13419730000896,427.14692260004813,427.1280310000293,None,426.13419730000896,None,426.13419730000896,None,426.13419730000896,None,427.83012381004517,None,427.83012381004517,None,427.83012381004517,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,neutral,2,j,l,,,,,,,,,7,5,131,12,,,,,,,,,main,2,2,2,neutral,negative,l,l,1,0.8293181000044569,427.8342084000469,428.84673140000086,428.83028550003655,None,427.8342084000469,None,427.8342084000469,None,427.8342084000469,None,429.6608892100106,None,429.6608892100106,None,429.6608892100106,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,positive,1,j,l,,,,,,,,,7,6,132,6,,,,,,,,,main,1,1,1,positive,negative,l,l,1,0.7982727999915369,429.66105030005565,430.6609508000547,430.6609508000547,None,429.66105030005565,None,429.66105030005565,None,429.66105030005565,None,431.4609231100243,None,431.4609231100243,None,431.4609231100243,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,neutral,1,k,k,,,,,,,,,7,7,133,1,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.7839909999747761,431.4643670000369,432.4635600000038,432.4635600000038,None,431.4643670000369,None,431.4643670000369,None,431.4643670000369,None,433.2468482099997,None,433.2468482099997,None,433.2468482099997,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,negative,1,l,j,,,,,,,,,7,8,134,5,,,,,,,,,main,2,2,1,negative,positive,j,j,1,0.8483938999706879,433.25014870002633,434.26352070004214,434.2468246000353,None,433.25014870002633,None,433.25014870002633,None,433.25014870002633,None,435.09680391004656,None,435.09680391004656,None,435.09680391004656,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,neutral,2,k,k,,,,,,,,,7,9,135,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.7151049000094645,435.100077900046,436.1134455000283,436.0943238000036,None,435.100077900046,None,435.100077900046,None,435.100077900046,None,436.81349831005207,None,436.81349831005207,None,436.81349831005207,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,positive,2,l,j,,,,,,,,,7,10,136,11,,,,,,,,,main,2,2,2,positive,positive,j,j,1,0.7625805000425316,436.82004120002966,437.8300310000195,437.8134899000288,None,436.82004120002966,None,436.82004120002966,None,436.82004120002966,None,438.5777222100354,None,438.5777222100354,None,438.5777222100354,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
